Administré.e;Nom;Prénom;Naissance;Adresse;Code Postal;Ville;Tel;Aliment1;Aliment2;Aliment3;Aliment4;Aliment5;Aliment6;Aliment7;Aliment8;Aliment9;Aliment10
10;CAUCHARD;Georges;01/08/1995;2 bis, rue Quatrefages;14 110;CONDE SUR NOIREAU;02 46 32 16 42;36037;76081;13431;25957;23588;20103;19666;25203;12763;6254
11;BERNARD;Julien;03/08/1998;3 rue, des Fontanots;92000;NANTERRE;09 67 82 83 12;50202;20405;50303;50103;30202;50201;60201;100101;60206;40308
12;LEVALOI;Zoe;08/09/1992;12 Boulevard des Princes;13000;MARSEILLE;06 17 18 91 93;10309;10304;50303;40103;40108;60202;60203;50204;50301;50202
13;BOA;Matteo;09/02/1989;9 bis, rue des Damades;75012;PARIS;06 81 03 02 01;10304;60201;60206;60203;50204;50303;40103;40101;40108;60202
14;BOUTIN ;Margaux;10/12/2000;16 allées des Arlequins;78000;VERSAILLE;07 83 29 02 05;40108;100103;40103;30501;20102;30102;40101;60203;100101;100602
15;LAPORTE;Mathieu;25/11/2002;78 rue, des Plaisirs;49000;ANGER ;06 56 45 29 76;50201;60201;30202;40203;100103;100101;30102;50303;50103;50303
16;LAN;Cyprien;22/08/1998;29 rue, des Honfleurs;93000;SAINT-DENIS;07 76 98 08 02;50301;10309;40207;40104;50101;50301;50303;20401;50202;40105
17;BEDOUCHA;Laura;08/09/1999;16 chemins des Pretes;94000;CRÉTEIL;07 89 65 43 78;40207;41001;50202;40205;100602;50301;60203;60201;40104;60206
18;LOPES;Emma;23/04/1998;28 rue, des Cheminots;95000;CERGY;06 68 65 54 34 ;20301;20401;20401;60201;20102;20402;20402;20101;100101;50202
19;BEN-LAOUI;Rayan;22/05/2002;32 Boulevard des Ilots;77000;MEAUX;09 76 29 86 87;40101;40108;40103;20101;20401;30202;100602;60201;60201;50303
20;PAOUI;Benoit;12/04/1987;38 bis rue, Pesaro;75016;PARIS;06 52 83 04 05;100101;100101;60203;60201;100601;20301;20401;20402;20102;20403
